tamanho,ins_heap_comp,ins_list_comp
3642,1,0
2290,1,0
3042,1,0
1671,3,0
3439,3,0
4565,2,0
3558,5,0
451,4,0
1266,4,0
2448,1,0
4379,3,0
2470,6,0
108,1,0
1157,2,0
2791,1,0
1612,1,0
4666,4,0
3131,3,0
4147,2,0
898,1,0
514,3,0
3673,2,0
504,1,0
1352,1,0
3187,2,0
1575,2,0
1450,1,0
780,1,0
3741,3,0
2397,1,0
2690,1,0
138,3,0
757,1,0
4681,2,0
4938,4,0
246,3,0
4985,3,0
1910,3,0
179,1,0
4037,3,0
1032,8,0
3583,2,0
2722,1,0
2894,1,0
4649,4,0
3975,1,0
3680,1,0
3875,3,0
2893,2,0
2227,2,0
2564,4,0
2794,2,0
3941,1,0
177,1,0
3484,5,0
4555,2,0
948,5,0
100,3,0
3173,6,0
132,3,0
160,1,0
1825,2,0
4229,5,0
1965,4,0
4776,3,0
1330,1,0
2132,1,0
697,2,0
4183,4,0
4474,2,0
3729,4,0
4675,5,0
1816,1,0
318,1,0
718,1,0
2712,5,0
3010,2,0
3787,2,0
1789,1,0
4927,7,0
2698,1,0
2310,1,0
241,1,0
2364,3,0
2798,1,0
3274,2,0
270,1,0
3082,5,0
3602,2,0
1041,3,0
998,3,0
3399,1,0
3623,3,0
528,1,0
2908,2,0
3952,2,0
445,1,0
2221,1,0
4770,1,0
2031,1,0
1558,1,0
3680,1,0
4180,1,0
2418,2,0
381,1,0
1596,2,0
2987,1,0
1713,1,0
1214,1,0
2956,2,0
333,1,0
2701,3,0
3281,5,0
2678,1,0
3135,3,0
1109,3,0
465,2,0
652,1,0
4264,1,0
3469,4,0
12,1,0
868,2,0
2798,1,0
3814,1,0
4652,2,0
1322,1,0
4396,1,0
3427,1,0
609,1,0
4972,1,0
3880,1,0
1566,1,0
3935,2,0
2559,2,0
1399,3,0
367,1,0
3248,1,0
2276,5,0
4688,1,0
3363,5,0
4705,2,0
4787,3,0
4717,1,0
3613,2,0
3663,2,0
4984,2,0
2891,3,0
1535,5,0
3818,4,0
3703,1,0
235,2,0
2329,1,0
325,1,0
4712,1,0
795,1,0
478,7,0
1600,2,0
2311,3,0
1311,4,0
1734,1,0
3572,1,0
599,2,0
952,1,0
1478,7,0
3532,1,0
2564,1,0
1298,1,0
1899,2,0
1762,5,0
637,1,0
1131,2,0
1178,2,0
1546,4,0
1971,2,0
1887,4,0
3879,3,0
4834,2,0
2721,3,0
4847,4,0
2291,1,0
2009,2,0
3410,2,0
544,1,0
537,1,0
4294,1,0
4431,2,0
4954,1,0
2639,3,0
161,6,0
3160,2,0
382,1,0
4240,4,0
3581,3,0
4285,2,0
4247,2,0
2588,2,0
3927,1,0
4877,2,0
1647,2,0
3129,1,0
4283,3,0
1295,2,0
1488,1,0
59,2,0
4302,1,0
1768,1,0
3708,2,0
1742,1,0
673,2,0
4586,1,0
3010,6,0
4025,1,0
1922,3,0
629,5,0
1116,2,0
1623,3,0
3067,3,0
2631,2,0
2615,2,0
860,1,0
2530,1,0
3697,2,0
3625,1,0
1443,6,0
2412,3,0
3121,2,0
3410,1,0
4895,3,0
2089,3,0
4792,3,0
3534,3,0
1190,1,0
3738,2,0
684,3,0
1189,2,0
4325,1,0
1604,3,0
4691,4,0
2581,2,0
875,2,0
144,2,0
383,2,0
3460,2,0
1714,1,0
1060,2,0
4448,2,0
3632,1,0
3639,2,0
1848,1,0
2240,7,0
2619,2,0
2481,3,0
883,3,0
4711,3,0
3747,1,0
1473,5,0
4695,2,0
372,2,0
1193,5,0
4476,1,0
2976,1,0
2887,2,0
542,3,0
1010,7,0
669,1,0
4618,1,0
3976,1,0
309,2,0
3684,5,0
4852,5,0
4711,2,0
3567,3,0
1683,2,0
1243,1,0
4962,4,0
3061,2,0
2437,2,0
243,2,0
3805,2,0
3273,1,0
273,2,0
1761,5,0
1173,2,0
1407,2,0
4903,2,0
1837,1,0
1903,2,0
4904,2,0
2113,4,0
4915,3,0
1810,2,0
2220,1,0
168,3,0
1922,5,0
2294,2,0
2094,7,0
2931,1,0
1381,4,0
4773,1,0
3606,1,0
2711,2,0
2978,3,0
4983,3,0
799,5,0
4772,2,0
1940,2,0
2587,4,0
4651,3,0
2784,3,0
491,1,0
2261,2,0
830,1,0
1190,4,0
3213,4,0
3637,1,0
4256,2,0
4655,2,0
441,3,0
4312,4,0
426,1,0
3225,1,0
3158,1,0
769,8,0
4276,4,0
3165,4,0
2933,2,0
4829,4,0
4893,3,0
1226,1,0
41,1,0
4092,1,0
2776,1,0
2288,1,0
4582,1,0
1954,7,0
3737,1,0
4351,3,0
2188,1,0
4705,2,0
2156,1,0
1906,1,0
1024,4,0
684,4,0
752,1,0
2317,2,0
3023,7,0
2754,2,0
1622,1,0
2098,1,0
2428,3,0
245,2,0
3695,7,0
3681,3,0
3840,1,0
4146,4,0
301,2,0
4540,5,0
4997,2,0
1992,1,0
3711,2,0
520,4,0
498,1,0
2206,1,0
693,3,0
942,1,0
4556,2,0
2263,2,0
1119,2,0
3906,1,0
2964,1,0
2783,2,0
4566,2,0
343,2,0
910,1,0
1585,3,0
3831,4,0
3185,2,0
4758,1,0
525,2,0
3129,5,0
2332,3,0
3869,2,0
739,2,0
2621,2,0
3729,6,0
2797,1,0
879,2,0
1839,2,0
4174,1,0
4057,1,0
2294,10,0
4195,2,0
4467,3,0
1269,1,0
2578,2,0
4336,4,0
1182,1,0
4558,1,0
2051,5,0
2277,2,0
385,2,0
1952,4,0
1429,1,0
2675,3,0
4091,2,0
4022,1,0
1322,3,0
4080,1,0
3942,2,0
4503,1,0
1598,1,0
3358,1,0
3001,2,0
3486,4,0
743,1,0
3063,3,0
4033,4,0
