tamanho,rem_heap_comp,rem_list_comp
3642,46,3643
2290,42,2291
3042,44,3043
1671,42,1672
3439,46,3440
4565,46,4566
3558,40,3559
451,34,452
1266,42,1267
2448,46,2449
4379,48,4380
2470,42,2471
108,26,109
1157,42,1158
2791,44,2792
1612,42,1613
4666,50,4667
3131,44,3132
4147,46,4148
898,38,899
514,34,515
3673,46,3674
504,28,505
1352,40,1353
3187,44,3188
1575,40,1576
1450,42,1451
780,38,781
3741,44,3742
2397,46,2398
2690,44,2691
138,26,139
757,34,758
4681,50,4682
4938,50,4939
246,28,247
4985,50,4986
1910,42,1911
179,26,180
4037,46,4038
1032,39,1033
3583,46,3584
2722,46,2723
2894,46,2895
4649,50,4650
3975,46,3976
3680,46,3681
3875,46,3876
2893,46,2894
2227,46,2228
2564,42,2565
2794,46,2795
3941,44,3942
177,30,178
3484,46,3485
4555,46,4556
948,36,949
100,24,101
3173,46,3174
132,26,133
160,26,161
1825,42,1826
4229,50,4230
1965,42,1966
4776,50,4777
1330,42,1331
2132,46,2133
697,32,698
4183,46,4184
4474,44,4475
3729,46,3730
4675,50,4676
1816,42,1817
318,30,319
718,36,719
2712,46,2713
3010,44,3011
3787,46,3788
1789,42,1790
4927,50,4928
2698,46,2699
2310,42,2311
241,30,242
2364,42,2365
2798,46,2799
3274,46,3275
270,30,271
3082,44,3083
3602,44,3603
1041,38,1042
998,38,999
3399,46,3400
3623,46,3624
528,34,529
2908,42,2909
3952,46,3953
445,30,446
2221,46,2222
4770,48,4771
2031,42,2032
1558,42,1559
3680,46,3681
4180,46,4181
2418,42,2419
381,34,382
1596,42,1597
2987,46,2988
1713,42,1714
1214,42,1215
2956,46,2957
333,34,334
2701,40,2702
3281,46,3282
2678,46,2679
3135,46,3136
1109,38,1110
465,24,466
652,38,653
4264,46,4265
3469,46,3470
12,14,13
868,38,869
2798,42,2799
3814,46,3815
4652,48,4653
1322,42,1323
4396,46,4397
3427,46,3428
609,38,610
4972,50,4973
3880,44,3881
1566,42,1567
3935,46,3936
2559,46,2560
1399,42,1400
367,34,368
3248,46,3249
2276,40,2277
4688,50,4689
3363,46,3364
4705,50,4706
4787,50,4788
4717,46,4718
3613,42,3614
3663,46,3664
4984,50,4985
2891,46,2892
1535,42,1536
3818,46,3819
3703,46,3704
235,30,236
2329,42,2330
325,34,326
4712,48,4713
795,38,796
478,31,479
1600,42,1601
2311,42,2312
1311,42,1312
1734,42,1735
3572,46,3573
599,34,600
952,36,953
1478,32,1479
3532,46,3533
2564,46,2565
1298,42,1299
1899,40,1900
1762,42,1763
637,38,638
1131,42,1132
1178,40,1179
1546,42,1547
1971,40,1972
1887,42,1888
3879,46,3880
4834,50,4835
2721,40,2722
4847,50,4848
2291,42,2292
2009,42,2010
3410,40,3411
544,34,545
537,34,538
4294,50,4295
4431,50,4432
4954,50,4955
2639,46,2640
161,30,162
3160,46,3161
382,28,383
4240,46,4241
3581,44,3582
4285,46,4286
4247,50,4248
2588,46,2589
3927,46,3928
4877,48,4878
1647,42,1648
3129,46,3130
4283,50,4284
1295,38,1296
1488,42,1489
59,22,60
4302,50,4303
1768,42,1769
3708,46,3709
1742,42,1743
673,38,674
4586,48,4587
3010,46,3011
4025,46,4026
1922,40,1923
629,34,630
1116,40,1117
1623,40,1624
3067,46,3068
2631,46,2632
2615,46,2616
860,38,861
2530,46,2531
3697,44,3698
3625,44,3626
1443,42,1444
2412,42,2413
3121,46,3122
3410,46,3411
4895,50,4896
2089,40,2090
4792,50,4793
3534,46,3535
1190,42,1191
3738,44,3739
684,34,685
1189,42,1190
4325,44,4326
1604,40,1605
4691,50,4692
2581,42,2582
875,36,876
144,26,145
383,34,384
3460,44,3461
1714,42,1715
1060,38,1061
4448,44,4449
3632,46,3633
3639,46,3640
1848,42,1849
2240,46,2241
2619,46,2620
2481,46,2482
883,38,884
4711,46,4712
3747,44,3748
1473,42,1474
4695,50,4696
372,34,373
1193,38,1194
4476,50,4477
2976,46,2977
2887,46,2888
542,28,543
1010,36,1011
669,36,670
4618,48,4619
3976,46,3977
309,30,310
3684,44,3685
4852,44,4853
4711,50,4712
3567,46,3568
1683,42,1684
1243,42,1244
4962,50,4963
3061,44,3062
2437,40,2438
243,30,244
3805,46,3806
3273,46,3274
273,30,274
1761,42,1762
1173,38,1174
1407,38,1408
4903,50,4904
1837,42,1838
1903,42,1904
4904,50,4905
2113,42,2114
4915,50,4916
1810,36,1811
2220,46,2221
168,26,169
1922,42,1923
2294,42,2295
2094,40,2095
2931,46,2932
1381,42,1382
4773,48,4774
3606,46,3607
2711,42,2712
2978,46,2979
4983,50,4984
799,38,800
4772,50,4773
1940,40,1941
2587,46,2588
4651,50,4652
2784,46,2785
491,34,492
2261,42,2262
830,38,831
1190,40,1191
3213,46,3214
3637,46,3638
4256,50,4257
4655,50,4656
441,34,442
4312,44,4313
426,34,427
3225,44,3226
3158,46,3159
769,38,770
4276,48,4277
3165,46,3166
2933,46,2934
4829,50,4830
4893,46,4894
1226,38,1227
41,18,42
4092,46,4093
2776,44,2777
2288,46,2289
4582,44,4583
1954,42,1955
3737,42,3738
4351,46,4352
2188,42,2189
4705,50,4706
2156,46,2157
1906,40,1907
1024,38,1025
684,35,685
752,38,753
2317,42,2318
3023,46,3024
2754,42,2755
1622,42,1623
2098,42,2099
2428,46,2429
245,30,246
3695,44,3696
3681,46,3682
3840,46,3841
4146,46,4147
301,32,302
4540,48,4541
4997,50,4998
1992,42,1993
3711,46,3712
520,34,521
498,34,499
2206,42,2207
693,38,694
942,36,943
4556,46,4557
2263,46,2264
1119,38,1120
3906,46,3907
2964,46,2965
2783,46,2784
4566,46,4567
343,30,344
910,38,911
1585,40,1586
3831,46,3832
3185,46,3186
4758,50,4759
525,34,526
3129,46,3130
2332,42,2333
3869,46,3870
739,38,740
2621,42,2622
3729,46,3730
2797,44,2798
879,38,880
1839,42,1840
4174,46,4175
4057,46,4058
2294,43,2295
4195,46,4196
4467,46,4468
1269,40,1270
2578,46,2579
4336,50,4337
1182,36,1183
4558,46,4559
2051,42,2052
2277,42,2278
385,34,386
1952,42,1953
1429,42,1430
2675,46,2676
4091,46,4092
4022,46,4023
1322,42,1323
4080,46,4081
3942,46,3943
4503,46,4504
1598,42,1599
3358,46,3359
3001,44,3002
3486,46,3487
743,38,744
3063,46,3064
4033,46,4034
1455,42,1456
2365,46,2366
519,34,520
2341,42,2342
11,10,12
2243,42,2244
1273,36,1274
1002,38,1003
275,30,276
3199,46,3200
714,38,715
1024,38,1025
4117,46,4118
557,34,558
3763,46,3764
3945,46,3946
3391,46,3392
4728,48,4729
4179,46,4180
281,28,282
1364,42,1365
3481,46,3482
1913,42,1914
4530,50,4531
3178,46,3179
4668,50,4669
436,34,437
4632,50,4633
1182,42,1183
1485,42,1486
1988,40,1989
70,24,71
1044,38,1045
1384,42,1385
4855,50,4856
458,34,459
3141,46,3142
3242,46,3243
1661,42,1662
2862,46,2863
827,38,828
4304,46,4305
2025,42,2026
3503,42,3504
655,38,656
548,34,549
401,34,402
333,34,334
986,38,987
1641,32,1642
1137,42,1138
601,34,602
3634,46,3635
387,34,388
1646,42,1647
83,20,84
2782,46,2783
932,38,933
4895,50,4896
4261,46,4262
1389,42,1390
3615,46,3616
1443,42,1444
3272,46,3273
2852,46,2853
236,30,237
3582,46,3583
3649,46,3650
1633,42,1634
2522,46,2523
153,26,154
4341,46,4342
1085,42,1086
4440,50,4441
363,34,364
2443,46,2444
2454,42,2455
1733,42,1734
1698,38,1699
3989,44,3990
4997,50,4998
1658,42,1659
2060,43,2061
489,34,490
2666,46,2667
7,10,8
712,34,713
3743,46,3744
3610,46,3611
4265,46,4266
2922,46,2923
185,26,186
404,34,405
4211,46,4212
3498,44,3499
4666,46,4667
3200,46,3201
306,30,307
1918,42,1919
3148,46,3149
2581,42,2582
425,34,426
2428,42,2429
1732,42,1733
318,30,319
3453,46,3454
3666,44,3667
1666,40,1667
3208,46,3209
2911,46,2912
2659,44,2660
1927,40,1928
792,34,793
1359,40,1360
3705,46,3706
2406,44,2407
227,30,228
4150,46,4151
3747,46,3748
1560,42,1561
4666,46,4667
1769,42,1770
3908,44,3909
4788,46,4789
2489,44,2490
3889,46,3890
1320,42,1321
3692,44,3693
3725,46,3726
1316,42,1317
3197,46,3198
4781,50,4782
2058,42,2059
2095,42,2096
1534,38,1535
3597,46,3598
4316,46,4317
101,22,102
4035,46,4036
2299,46,2300
328,28,329
1199,38,1200
2020,42,2021
755,34,756
1819,42,1820
2688,42,2689
3889,46,3890
147,30,148
2997,46,2998
2238,42,2239
1624,42,1625
952,38,953
2897,44,2898
1338,40,1339
4083,44,4084
1383,42,1384
2542,44,2543
2711,46,2712
4748,50,4749
2128,42,2129
1056,42,1057
2883,46,2884
2571,46,2572
3760,46,3761
2968,46,2969
595,36,596
4075,46,4076
1787,42,1788
4023,46,4024
3132,46,3133
4537,50,4538
408,34,409
1299,42,1300
231,30,232
236,30,237
4960,46,4961
4407,50,4408
379,34,380
906,35,907
2383,40,2384
1863,40,1864
1152,38,1153
2123,42,2124
4164,46,4165
2153,42,2154
3005,46,3006
2921,44,2922
2700,46,2701
2470,46,2471
4983,50,4984
4687,50,4688
1965,42,1966
196,30,197
1635,42,1636
575,38,576
2502,44,2503
1822,42,1823
3461,46,3462
3478,46,3479
328,34,329
4414,50,4415
1100,36,1101
4362,46,4363
3245,44,3246
3753,46,3754
1873,42,1874
4919,50,4920
1380,42,1381
4041,46,4042
164,26,165
1234,42,1235
939,32,940
380,34,381
2853,42,2854
4316,46,4317
1705,42,1706
3416,46,3417
3776,44,3777
3930,46,3931
2269,42,2270
4954,50,4955
3013,46,3014
3213,46,3214
2387,46,2388
1006,36,1007
253,30,254
1431,42,1432
1298,42,1299
3830,46,3831
1495,38,1496
4559,50,4560
1232,42,1233
2359,42,2360
158,27,159
2873,46,2874
2983,46,2984
18,14,19
2897,46,2898
4567,50,4568
1015,38,1016
4223,50,4224
2578,44,2579
1800,36,1801
2368,42,2369
4698,46,4699
63,22,64
2621,42,2622
712,38,713
2635,42,2636
3221,46,3222
331,34,332
3905,46,3906
1063,38,1064
115,26,116
212,26,213
4170,46,4171
2040,42,2041
2627,46,2628
4845,48,4846
3886,46,3887
2150,42,2151
3478,46,3479
3035,46,3036
3654,44,3655
4499,50,4500
2822,46,2823
4970,48,4971
3226,46,3227
1315,42,1316
4875,50,4876
75,26,76
4582,46,4583
3411,44,3412
1372,42,1373
1813,42,1814
4364,46,4365
2412,46,2413
2613,46,2614
928,36,929
370,34,371
3019,42,3020
3003,46,3004
96,26,97
2287,40,2288
2786,46,2787
4389,50,4390
2320,44,2321
3540,46,3541
1716,42,1717
913,36,914
2941,46,2942
2268,46,2269
4342,50,4343
725,36,726
1621,42,1622
1173,36,1174
1669,38,1670
3272,46,3273
2625,46,2626
1388,42,1389
1769,42,1770
3362,46,3363
3676,44,3677
3078,46,3079
4312,46,4313
3846,44,3847
529,34,530
849,38,850
810,36,811
1458,42,1459
4780,46,4781
4573,50,4574
1670,38,1671
2362,42,2363
2751,46,2752
4662,48,4663
3309,46,3310
3715,44,3716
3256,46,3257
568,34,569
3146,46,3147
369,30,370
2803,46,2804
1221,42,1222
2650,44,2651
2779,46,2780
3631,46,3632
581,32,582
1653,42,1654
4886,46,4887
3831,46,3832
4711,46,4712
4111,46,4112
2527,46,2528
1730,42,1731
2436,44,2437
1029,38,1030
2239,42,2240
431,34,432
2179,42,2180
3186,46,3187
595,34,596
806,36,807
28,18,29
1165,42,1166
3988,46,3989
3285,46,3286
4418,50,4419
1363,38,1364
1757,42,1758
3801,46,3802
1354,39,1355
3462,44,3463
366,28,367
20,16,21
4276,50,4277
2954,46,2955
2135,42,2136
4543,50,4544
3648,46,3649
3874,46,3875
3115,46,3116
3308,46,3309
640,36,641
940,36,941
3085,46,3086
2514,42,2515
4342,46,4343
1035,36,1036
4217,50,4218
3303,46,3304
2879,46,2880
237,28,238
3468,46,3469
3828,46,3829
4997,46,4998
657,38,658
2701,44,2702
2412,40,2413
1525,38,1526
2927,46,2928
3448,46,3449
2479,46,2480
1242,40,1243
3252,46,3253
1555,42,1556
1432,36,1433
2876,46,2877
3597,46,3598
2719,46,2720
2336,46,2337
2643,42,2644
4189,46,4190
1839,42,1840
3240,46,3241
1657,42,1658
10,11,11
2640,46,2641
1845,42,1846
2432,46,2433
2917,46,2918
1367,38,1368
453,34,454
1948,42,1949
4951,50,4952
3573,40,3574
2694,44,2695
4968,50,4969
2922,46,2923
2390,40,2391
3557,46,3558
3669,46,3670
3175,44,3176
1181,42,1182
3972,44,3973
3440,42,3441
3863,46,3864
3706,46,3707
1221,38,1222
4586,50,4587
3135,46,3136
679,38,680
3431,44,3432
3845,46,3846
2825,46,2826
4945,50,4946
3550,46,3551
1447,42,1448
3592,46,3593
3369,46,3370
2475,42,2476
104,26,105
3397,44,3398
4518,40,4519
3412,44,3413
3711,46,3712
1008,38,1009
465,34,466
1855,42,1856
3112,46,3113
2090,42,2091
2053,42,2054
2228,44,2229
2375,40,2376
1495,38,1496
